# Source : données simulées de façon réaliste pour démonstration
# Projet : Segmentation de clients - Application K-Means
# Date de génération : 2024
CustomerID,Recency,Frequency,Monetary,LastPurchaseDate
C467,335,3,188,2024-10-05
C188,61,18,1828,2024-12-18
C189,29,40,1896,2024-12-10
C469,245,4,157,2024-07-24
C225,57,25,610,2024-11-05
C166,66,36,1992,2024-11-09
C408,219,2,70,2024-08-31
C480,283,4,143,2024-12-10
C286,68,3,207,2024-12-26
C038,27,74,2960,2024-12-29
C315,46,3,191,2024-12-08
C128,37,40,1916,2024-12-20
C033,5,81,4278,2024-12-30
C212,86,16,653,2024-11-28
C103,51,33,1872,2024-11-13
C378,172,10,498,2024-09-14
C323,170,7,444,2024-08-31
C022,26,83,2161,2024-12-22
C148,88,20,784,2024-12-19
C356,151,7,126,2024-09-17
C247,58,34,644,2024-12-19
C127,72,32,1869,2024-10-31
C483,211,5,34,2024-11-17
C210,59,22,1969,2024-12-31
C238,50,10,507,2024-11-13
C258,65,8,232,2024-12-26
C262,165,10,444,2024-11-18
C454,263,1,34,2024-12-20
C104,60,30,1106,2024-11-27
C115,50,22,519,2024-12-31
C092,21,87,3527,2024-12-24
C023,30,75,4317,2024-12-01
C255,141,4,359,2024-10-18
C347,149,7,137,2024-09-09
C016,26,48,4612,2024-12-30
C402,251,4,68,2024-10-21
C297,159,3,252,2024-11-26
C134,65,14,1609,2024-11-05
C237,62,38,836,2024-12-06
C254,179,5,207,2024-10-23
C055,27,48,2317,2024-12-27
C253,88,6,238,2024-11-29
C031,11,90,4640,2024-12-24
C196,78,36,1001,2024-10-30
C445,228,4,108,2024-08-13
C194,50,35,1197,2024-11-12
C400,75,8,20,2024-10-31
C116,22,23,899,2024-12-18
C030,1,83,4695,2024-12-30
C354,71,4,50,2024-11-24
C191,26,19,1235,2024-12-16
C177,59,13,1593,2024-11-02
C365,83,2,64,2024-12-08
C200,70,39,1765,2024-12-27
C235,61,34,713,2024-11-15
C368,138,2,210,2024-10-20
C353,104,6,155,2024-10-08
C058,9,91,3136,2024-12-31
C387,33,6,418,2024-12-19
C427,299,3,175,2024-06-27
C187,50,12,1964,2024-12-14
C226,37,32,1347,2024-12-01
C376,178,1,224,2024-09-05
C423,232,3,89,2024-07-17
C322,133,1,336,2024-12-31
C369,69,1,138,2024-11-01
C416,224,5,148,2024-06-28
C222,19,38,1399,2024-12-22
C211,46,11,1871,2024-12-01
C013,5,90,2646,2024-12-27
C070,16,55,2608,2024-12-23
C252,35,4,291,2024-11-28
C441,249,5,173,2024-05-19
C348,144,1,23,2024-12-23
C333,37,1,322,2024-12-29
C131,15,25,1712,2024-12-25
C283,154,6,362,2024-12-09
C097,19,93,3799,2024-12-30
C259,95,4,229,2024-10-18
C109,61,31,1461,2024-12-05
C246,88,16,1796,2024-10-07
C032,3,74,4336,2024-12-29
C186,75,24,1672,2024-10-18
C380,174,7,291,2024-10-07
C227,89,31,1399,2024-12-28
C320,113,9,186,2024-12-12
C046,15,82,2540,2024-12-28
C024,16,54,2455,2024-12-18
C337,117,8,311,2024-09-16
C300,52,10,311,2024-11-19
C236,70,39,606,2024-10-30
C248,39,13,1917,2024-12-29
C042,15,54,3881,2024-12-22
C067,27,56,2766,2024-12-26
C362,80,5,301,2024-12-06
C357,115,5,36,2024-11-05
C007,28,60,3184,2024-12-20
C409,362,2,91,2024-10-31
C438,347,4,77,2024-05-27
C452,330,3,10,2024-11-04
C494,307,4,197,2024-08-02
C486,318,5,192,2024-03-19
C417,323,3,142,2024-07-09
C078,23,70,3634,2024-12-25
C138,30,35,973,2024-12-16
C011,30,86,2562,2024-12-20
C160,31,26,561,2024-12-12
C314,159,7,219,2024-10-02
C468,240,1,85,2024-09-02
C439,216,4,159,2024-08-09
C385,74,2,140,2024-11-25
C335,96,3,106,2024-10-01
C249,32,24,727,2024-12-10
C149,26,40,1825,2024-12-30
C250,48,24,1892,2024-11-18
C338,173,4,174,2024-08-12
C364,40,4,122,2024-11-23
C475,303,3,70,2024-08-31
C464,217,2,119,2024-09-28
C344,169,4,270,2024-11-25
C183,17,22,847,2024-12-15
C448,221,3,36,2024-06-20
C461,283,4,18,2024-07-19
C349,69,2,246,2024-12-07
C436,262,4,69,2024-05-24
C319,143,5,58,2024-10-12
C202,63,20,1352,2024-12-06
C167,37,25,1068,2024-12-18
C060,2,42,3636,2024-12-31
C498,238,2,124,2024-06-29
C329,84,7,140,2024-11-30
C233,60,11,1601,2024-12-06
C050,28,83,3363,2024-12-21
C068,24,44,4931,2024-12-30
C037,3,83,3895,2024-12-30
C091,1,43,4848,2024-12-30
C456,259,1,154,2024-09-30
C049,13,96,4693,2024-12-20
C208,88,28,1668,2024-10-08
C152,21,13,1325,2024-12-11
C072,3,59,4811,2024-12-29
C170,23,19,1453,2024-12-20
C125,69,17,1155,2024-12-19
C435,269,3,167,2024-10-19
C122,68,20,943,2024-12-24
C397,102,1,386,2024-10-05
C455,217,4,36,2024-10-21
C015,25,99,4061,2024-12-14
C009,25,88,2474,2024-12-22
C359,127,9,318,2024-10-22
C137,76,29,952,2024-10-17
C342,111,2,394,2024-11-15
C214,26,10,1577,2024-12-20
C309,86,1,328,2024-11-08
C453,323,2,198,2024-07-22
C150,49,32,1348,2024-12-06
C363,58,5,276,2024-11-22
C371,64,3,238,2024-11-18
C123,67,37,1503,2024-12-27
C047,13,71,3722,2024-12-29
C273,123,1,78,2024-10-31
C173,23,27,1294,2024-12-30
C493,347,5,13,2024-05-26
C172,60,22,1691,2024-11-20
C477,302,1,123,2024-06-11
C036,16,94,4454,2024-12-27
C241,16,22,1165,2024-12-18
C071,28,98,4511,2024-12-03
C330,39,10,476,2024-11-28
C389,84,3,179,2024-11-28
C074,19,59,4911,2024-12-25
C433,212,3,122,2024-12-15
C263,162,6,419,2024-09-05
C343,177,10,395,2024-09-04
C474,342,2,115,2024-03-02
C331,153,1,96,2024-11-07
C490,355,2,44,2024-09-30
C146,47,38,1190,2024-11-19
C158,51,21,1892,2024-12-19
C106,46,32,1684,2024-12-29
C144,16,26,1395,2024-12-20
C418,289,2,46,2024-07-09
C425,247,1,22,2024-09-16
C239,66,24,802,2024-11-06
C372,131,2,21,2024-12-13
C027,21,63,4264,2024-12-19
C052,30,72,3408,2024-12-07
C275,166,2,85,2024-11-27
C141,48,29,1746,2024-12-22
C277,89,8,276,2024-12-18
C295,44,8,270,2024-12-03
C051,26,94,3496,2024-12-25
C203,77,34,1326,2024-12-05
C281,118,2,305,2024-10-21
C124,82,15,1376,2024-11-15
C482,305,3,21,2024-10-06
C434,303,2,197,2024-07-22
C021,22,81,3500,2024-12-14
C043,28,52,2863,2024-12-25
C271,94,5,338,2024-12-15
C228,70,34,1718,2024-10-26
C415,275,2,18,2024-11-22
C444,359,3,67,2024-12-06
C401,276,2,162,2024-06-16
C153,89,38,1899,2024-11-26
C154,35,38,1260,2024-11-26
C221,44,32,1629,2024-12-15
C117,90,28,970,2024-12-17
C413,304,3,132,2024-12-03
C085,24,91,2586,2024-12-15
C003,19,62,2330,2024-12-21
C265,49,1,149,2024-11-15
C110,16,35,1284,2024-12-24
C267,66,4,342,2024-12-29
C405,256,2,178,2024-05-05
C291,62,4,95,2024-12-30
C224,83,11,552,2024-10-27
C429,230,2,147,2024-07-25
C450,220,5,196,2024-10-09
C317,117,1,186,2024-12-03
C199,83,24,949,2024-12-22
C355,63,1,174,2024-12-07
C065,21,83,4777,2024-12-26
C143,18,25,1291,2024-12-16
C213,68,31,1270,2024-11-12
C472,276,4,163,2024-09-20
C310,84,3,433,2024-12-17
C437,236,5,31,2024-06-19
C279,34,3,388,2024-12-18
C082,5,76,3183,2024-12-29
C019,14,56,3955,2024-12-30
C327,142,2,231,2024-10-30
C132,78,40,1080,2024-12-10
C102,60,30,1017,2024-11-27
C098,21,69,4331,2024-12-17
C324,91,1,438,2024-12-02
C159,37,34,1366,2024-12-02
C077,11,67,4520,2024-12-30
C459,223,4,131,2024-08-23
C339,84,2,16,2024-10-19
C269,180,10,181,2024-08-24
C176,31,40,1850,2024-12-07
C089,18,41,4869,2024-12-29
C169,89,27,1250,2024-10-17
C419,227,5,90,2024-09-09
C073,4,58,3369,2024-12-29
C063,23,76,3759,2024-12-31
C192,86,15,1471,2024-12-08
C220,77,11,1831,2024-11-24
C090,16,100,3704,2024-12-28
C069,6,61,3930,2024-12-25
C304,101,10,101,2024-12-01
C053,27,96,4675,2024-12-19
C142,33,35,1268,2024-12-27
C457,252,3,183,2024-11-12
C147,26,12,1940,2024-12-24
C411,212,5,98,2024-10-20
C289,62,4,487,2024-11-23
C302,140,8,325,2024-09-23
C471,232,1,167,2024-07-24
C328,161,1,273,2024-07-28
C076,7,57,4919,2024-12-31
C232,84,10,1144,2024-12-20
C458,330,5,181,2024-07-04
C136,61,26,593,2024-11-16
C026,21,55,2337,2024-12-17
C496,304,4,126,2024-05-18
C114,74,35,1402,2024-11-05
C218,52,37,1237,2024-11-24
C410,344,3,169,2024-05-19
C311,178,9,318,2024-08-17
C193,42,30,1531,2024-12-04
C290,67,9,106,2024-12-05
C432,276,5,21,2024-05-22
C086,8,75,3445,2024-12-24
C005,3,61,2769,2024-12-28
C358,60,6,228,2024-11-22
C352,138,2,224,2024-11-25
C157,38,32,1713,2024-11-30
C442,324,4,16,2024-12-03
C129,15,35,1133,2024-12-31
C341,176,3,45,2024-12-03
C499,324,4,140,2024-05-09
C489,295,1,68,2024-08-23
C234,59,36,1596,2024-12-06
C336,37,2,300,2024-11-30
C308,178,10,119,2024-07-21
C463,338,5,81,2024-03-30
C394,132,4,398,2024-10-28
C151,22,38,1469,2024-12-30
C340,36,1,160,2024-12-11
C294,76,4,374,2024-11-10
C178,45,28,944,2024-11-18
C184,39,33,1428,2024-11-24
C223,70,26,1853,2024-12-15
C039,5,86,3485,2024-12-29
C185,20,35,1184,2024-12-19
C412,267,5,107,2024-04-09
C306,69,9,223,2024-12-21
C217,28,11,574,2024-12-13
C126,44,28,1156,2024-12-13
C299,103,8,47,2024-12-26
C420,239,5,71,2024-09-30
C216,61,32,1730,2024-11-25
C242,73,33,1382,2024-12-25
C181,27,27,1743,2024-12-06
C443,338,1,143,2024-10-14
C012,23,91,4879,2024-12-29
C206,83,40,1270,2024-11-09
C179,68,16,590,2024-12-13
C161,27,36,1542,2024-12-15
C487,250,4,91,2024-06-17
C059,26,91,3291,2024-12-25
C245,78,34,984,2024-12-04
C198,43,22,1776,2024-12-26
C035,8,51,4977,2024-12-31
C119,39,35,1074,2024-12-10
C462,262,5,126,2024-10-21
C285,82,8,113,2024-11-11
C500,217,5,152,2024-09-24
C020,8,43,3021,2024-12-26
C488,345,3,159,2024-11-25
C476,333,1,15,2024-10-20
C491,296,4,58,2024-06-02
C370,133,10,34,2024-11-23
C404,316,3,119,2024-09-16
C251,112,10,434,2024-09-22
C108,60,33,1125,2024-11-30
C390,42,2,425,2024-11-30
C207,37,14,1176,2024-12-22
C367,65,4,476,2024-10-31
C156,78,12,1622,2024-11-26
C312,86,5,163,2024-11-21
C044,17,91,3020,2024-12-28
C120,72,35,1865,2024-11-13
C305,151,9,60,2024-12-03
C165,83,12,895,2024-12-07
C204,63,22,604,2024-11-27
C175,22,25,1888,2024-12-31
C421,314,2,76,2024-11-06
C107,32,34,1065,2024-12-29
C121,66,19,1337,2024-12-17
C284,92,1,162,2024-12-15
C374,103,9,320,2024-11-15
C064,1,58,3661,2024-12-30
C313,64,4,34,2024-11-24
C001,7,91,2860,2024-12-25
C171,31,38,1753,2024-12-25
C264,97,3,221,2024-09-26
C276,30,8,329,2024-12-10
C133,81,21,653,2024-12-16
C257,160,3,40,2024-11-22
C361,75,2,319,2024-10-28
C350,132,9,255,2024-12-10
C332,61,2,400,2024-12-03
C266,30,10,151,2024-12-26
C093,7,42,2400,2024-12-24
C080,25,91,2880,2024-12-30
C270,42,8,139,2024-12-12
C118,80,32,1353,2024-11-11
C195,42,37,1368,2024-11-21
C010,28,99,2975,2024-12-17
C395,32,8,167,2024-12-28
C287,96,7,188,2024-10-21
C303,97,5,385,2024-11-25
C407,246,1,18,2024-09-24
C301,169,10,150,2024-09-19
C164,66,28,1890,2024-12-16
C440,337,1,31,2024-09-03
C460,347,1,26,2024-05-10
C424,291,1,68,2024-11-03
C449,280,4,193,2024-10-01
C261,91,9,203,2024-10-14
C229,41,38,1171,2024-12-13
C163,90,18,954,2024-12-04
C066,23,43,2202,2024-12-08
C028,9,68,4062,2024-12-31
C345,166,2,62,2024-09-24
C379,55,10,25,2024-12-25
C145,64,12,879,2024-11-29
C326,30,3,184,2024-12-14
C479,283,3,136,2024-12-25
C130,48,39,1641,2024-11-14
C084,16,42,2403,2024-12-31
C473,365,2,183,2024-09-01
C231,56,38,1033,2024-12-11
C492,358,2,198,2024-12-08
C111,47,18,745,2024-11-14
C381,164,5,16,2024-08-17
C316,54,7,189,2024-12-26
C318,92,6,163,2024-12-04
C041,14,78,4842,2024-12-23
C422,239,2,49,2024-10-02
C325,173,8,28,2024-12-14
C293,126,6,303,2024-12-19
C375,41,8,348,2024-12-24
C002,11,47,3638,2024-12-22
C334,101,6,258,2024-09-22
C014,9,78,3297,2024-12-28
C428,206,5,54,2024-11-04
C298,55,5,157,2024-12-21
C087,20,74,4557,2024-12-29
C478,207,2,101,2024-10-31
C240,28,35,527,2024-12-09
C100,4,74,3215,2024-12-31
C008,26,61,4300,2024-12-20
C282,68,8,23,2024-11-30
